\lx,\ge,\ps,\bb,\ph,\va,\vc,,
wawiːʔ,gavião,n,,,,,,
wɔ̃ːt,abeirar,v,,,,,,
wɔːw,espécie de cipó,n,,,,,,
wɛːɟ,tatu,n,,,,,,
wə̃ːɟ,tatu,n,,,,,,
wɛm,espécie de árvore,n,,,,,,
wɛ̃m,esticar,v,,,,,,
wəm/wɨːm,morcego,n,,,,,,
wət,estar.em.movimento,v,,,,,,
wɤːj,espécie de cobra,n,,,,,,
wɤːʔ,mato caído,n,,,,,,
wɤʔ,céu,n,,,,,,
wiːʔ,pêlo,n,,,,,,
wɨɨd,find,v,Weir 1994,wɨːd,,,,
wɨk,be.heavy,v,Weir 1994,wɨk,,,,
wɨm,quatipuru,n,,,,,,
wɯːw,tocandira,n,,,,,,
woːɾ,espécie de árvore,n,,,,,,
wo̰ːɾ,espécie de coruja,n,,,wo̰ːɾ,"Barbosa 2005, coruja",,
wojapəm,morro,n,,,,,,
wokã̰ːn,irmão mais novo (pl wokãːn),n,,,,,,
wʉh (n.i. wʉʉh),eat,v,"Weir 1990, Weir 1994",wəh,,,,
wʉ́t,be.in.movement,v,"Weir 1986, Weir 1990",wʌt,,,wət,"Barbosa 2005, estar.em.movimento"
wʉ́ʉ́h,be.big.MULT,v,Weir 1990,wʌːh,,,,
wʌ̰ːk,amarelo,n,,,,,,
wʌːɲ,ir para o porto (pl wʌ̰ːɲ),v,,,,,,
wʌːʔ,espécie de árvore,n,,,,,,
yaah,who?,pro,Weir 1994,jaːh,,,,
yahuun,anteater,n,Weir 1994,jahuːn,,,,
yes,be.scarred,v,Weir 1990,jeʃ,,,,
yiti,tomorrow,adv?,Weir 1986,jitiʔ,,,,
yõng,be.many (n.i. yõoh),v,Weir 1994,jõŋ,,,,
yóóh,pierce,v,Weir 1994,jɔːh,,,,
yóóm,plant,v,Weir 1986,jɔːm,,,,
yʉ́k,fall.multiple (pl?),v,Weir 1986,jʌk,,,,
yung,be.dark,v,Weir 1994,juŋ,,,,
yʉp,die (n.i. yʉb),v,Weir 1994,jəp,,,,
yʉʉh,return n.i.,v,Weir 1994,jəːh,,,,
ʔãːɲ,irmã,n,,,,,,
ʔagɔp,buscar água,v,,,,,,
